year,state_po,county
2016,GA,Jackson
2016,GA,Jasper
2016,GA,Jeff Davis
2016,GA,Jefferson
2016,GA,Jenkins
2016,GA,Johnson
2016,GA,Jones
2016,GA,Lamar
2016,GA,Lanier
2016,GA,Laurens
2016,GA,Lee
2016,GA,Liberty
2016,GA,Lincoln
2016,GA,Long
2016,GA,Lowndes
2016,GA,Lumpkin
2016,GA,McDuffie
2016,GA,McIntosh
2016,GA,Macon
2016,GA,Madison
2016,GA,Marion
2016,GA,Meriwether
2016,GA,Miller
2016,GA,Mitchell
2016,GA,Monroe
2016,GA,Montgomery
2016,GA,Morgan
2016,GA,Murray
2016,GA,Muscogee
2016,GA,Newton
2016,GA,Oconee
2016,GA,Oglethorpe
2016,GA,Paulding
2016,GA,Peach
2016,GA,Pickens
2016,GA,Pierce
2016,GA,Pike
2016,GA,Polk
2016,GA,Pulaski
2016,GA,Putnam
2016,GA,Quitman
2016,GA,Rabun
2016,GA,Randolph
2016,GA,Richmond
2016,GA,Rockdale
2016,GA,Schley
2016,GA,Screven
2016,GA,Seminole
2016,GA,Spalding
2016,GA,Stephens
2016,GA,Stewart
2016,GA,Sumter
2016,GA,Talbot
2016,GA,Taliaferro
2016,GA,Tattnall
2016,GA,Taylor
2016,GA,Telfair
2016,GA,Terrell
2016,GA,Thomas
2016,GA,Tift
2016,GA,Toombs
2016,GA,Towns
2016,GA,Treutlen
2016,GA,Troup
2016,GA,Turner
2016,GA,Twiggs
2016,GA,Union
2016,GA,Upson
2016,GA,Walker
2016,GA,Walton
2016,GA,Ware
2016,GA,Warren
2016,GA,Washington
2016,GA,Wayne
2016,GA,Webster
2016,GA,Wheeler
2016,GA,White
2016,GA,Whitfield
2016,GA,Wilcox
2016,GA,Wilkes
2016,GA,Wilkinson
2016,GA,Worth
2016,HI,Hawaii
2016,HI,Honolulu
2016,HI,Kauai
2016,HI,Maui
2016,ID,Ada
2016,ID,Adams
2016,ID,Bannock
2016,ID,Bear Lake
2016,ID,Benewah
2016,ID,Bingham
2016,ID,Blaine
2016,ID,Boise
2016,ID,Bonner
2016,ID,Bonneville
2016,ID,Boundary
2016,ID,Butte
2016,ID,Camas
2016,ID,Canyon
2016,ID,Caribou
2016,ID,Cassia
2016,ID,Clark
2016,ID,Clearwater
2016,ID,Custer
2016,ID,Elmore
2016,ID,Franklin
2016,ID,Fremont
2016,ID,Gem
2016,ID,Gooding
2016,ID,Idaho
2016,ID,Jefferson
2016,ID,Jerome
2016,ID,Kootenai
2016,ID,Latah
2016,ID,Lemhi
2016,ID,Lewis
2016,ID,Lincoln
2016,ID,Madison
2016,ID,Minidoka
2016,ID,Nez Perce
2016,ID,Oneida
2016,ID,Owyhee
2016,ID,Payette
2016,ID,Power
2016,ID,Shoshone
2016,ID,Teton
